Sales Person,Country,Product,Date, Amount ,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,4/1/2022,5320,180
Van Tuxwell,India,85% Dark Bars,1/8/2022,7896,94
Gigi Bohling,India,Peanut Butter Cubes,7/7/2022,4501,91
Jan Morforth,Australia,Peanut Butter Cubes,4/27/2022,12726,342
Jehu Rudeforth,UK,Peanut Butter Cubes,2/24/2022,13685,184
Van Tuxwell,India,Smooth Sliky Salty,6/6/2022,5376,38
Oby Sorrel,UK,99% Dark & Pure,1/25/2022,13685,176
Gunar Cockshoot,Australia,After Nines,3/24/2022,3080,73
Jehu Rudeforth,New Zealand,50% Dark Bites,4/20/2022,3990,59
Brien Boise,Australia,99% Dark & Pure,4/7/2022,2835,102
Rafaelita Blaksland,UK,Smooth Sliky Salty,1/13/2022,4704,62
Barr Faughny,USA,Orange Choco,10/3/2022,3703,11
Mallorie Waber,Canada,Eclairs,1/13/2022,1442,286
Karlen McCaffrey,New Zealand,Drinking Coco,7/28/2022,168,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,3/8/2022,8379,173
Beverie Moffet,Australia,Organic Choco Syrup,1/26/2022,6790,356
Van Tuxwell,Canada,Organic Choco Syrup,2/14/2022,4067,42
Roddy Speechley,USA,Smooth Sliky Salty,5/4/2022,3017,140
Beverie Moffet,Canada,Milk Bars,2/16/2022,8799,250
Curtice Advani,UK,85% Dark Bars,8/6/2022,1085,172
Brien Boise,Australia,Eclairs,6/27/2022,6888,88
Gunar Cockshoot,USA,Spicy Special Slims,2/17/2022,1267,157
Marney O'Breen,USA,After Nines,5/30/2022,4753,163
Husein Augar,UK,Drinking Coco,3/14/2022,3003,113
Kaine Padly,Australia,Eclairs,2/28/2022,7672,115
Karlen McCaffrey,India,Fruit & Nut Bars,1/26/2022,168,321
Roddy Speechley,Canada,Spicy Special Slims,9/2/2022,1652,186
Husein Augar,USA,Eclairs,7/7/2022,4025,112
Dennison Crosswaite,New Zealand,White Choc,5/7/2022,9492,151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,6/15/2022,5061,301
Van Tuxwell,New Zealand,85% Dark Bars,5/24/2022,1722,121
Rafaelita Blaksland,UK,99% Dark & Pure,6/29/2022,12446,150
Wilone O'Kielt,Australia,Manuka Honey Choco,11/5/2022,4284,94
Karlen McCaffrey,UK,Almond Choco,6/30/2022,6839,133
Andria Kimpton,Canada,After Nines,11/5/2022,2163,70
Roddy Speechley,USA,Manuka Honey Choco,7/22/2022,9583,315
Andria Kimpton,UK,50% Dark Bites,8/24/2022,2653,314
Kelci Walkden,New Zealand,After Nines,7/7/2022,147,72
Camilla Castle,Australia,85% Dark Bars,5/19/2022,3654,14
Karlen McCaffrey,India,Manuka Honey Choco,4/7/2022,2443,581
Kelci Walkden,USA,After Nines,2/6/2022,938,16
Karlen McCaffrey,USA,Raspberry Choco,4/15/2022,14749,354
Mallorie Waber,Canada,Choco Coated Almonds,11/7/2022,4781,241
Andria Kimpton,India,Spicy Special Slims,2/23/2022,6307,142
Madelene Upcott,Canada,Almond Choco,8/22/2022,7602,102
Kaine Padly,USA,Peanut Butter Cubes,2/16/2022,6790,188
Van Tuxwell,USA,50% Dark Bites,1/13/2022,9737,160
Curtice Advani,Australia,Milk Bars,2/14/2022,6979,18
Roddy Speechley,India,Eclairs,10/6/2022,4382,303
Curtice Advani,India,Fruit & Nut Bars,7/7/2022,5243,176
Curtice Advani,Canada,Almond Choco,3/24/2022,4865,70
Brien Boise,Australia,Fruit & Nut Bars,6/6/2022,8575,23
Dotty Strutley,Australia,Drinking Coco,7/19/2022,91,135
Beverie Moffet,USA,Raspberry Choco,4/19/2022,14798,83
Marney O'Breen,India,85% Dark Bars,7/19/2022,2205,179
Jehu Rudeforth,Canada,Drinking Coco,7/15/2022,441,24
Ches Bonnell,New Zealand,Spicy Special Slims,2/14/2022,3556,18
Brien Boise,Canada,99% Dark & Pure,5/18/2022,16793,416
Barr Faughny,Australia,Fruit & Nut Bars,6/30/2022,15421,55
Andria Kimpton,Australia,50% Dark Bites,2/6/2022,4438,227
Andria Kimpton,Australia,Drinking Coco,6/28/2022,1603,48
Marney O'Breen,Australia,Organic Choco Syrup,5/16/2022,273,174
Kelci Walkden,Canada,Baker's Choco Chips,5/26/2022,3073,302
Karlen McCaffrey,India,Almond Choco,6/7/2022,6090,149
Oby Sorrel,India,99% Dark & Pure,5/27/2022,10255,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,4/14/2022,2030,11
Van Tuxwell,Australia,Organic Choco Syrup,10/8/2022,19453,14
Camilla Castle,India,50% Dark Bites,4/7/2022,9275,411
Oby Sorrel,India,Organic Choco Syrup,8/7/2022,6181,56
Jan Morforth,USA,Peanut Butter Cubes,7/22/2022,9037,102
Gigi Bohling,USA,Choco Coated Almonds,2/3/2022,12313,103
Gigi Bohling,UK,Almond Choco,10/1/2022,5642,9
Jehu Rudeforth,New Zealand,White Choc,11/3/2022,2800,241
Andria Kimpton,New Zealand,Peanut Butter Cubes,6/20/2022,959,265
Van Tuxwell,UK,Organic Choco Syrup,8/26/2022,2002,214
Roddy Speechley,Canada,Milk Bars,7/13/2022,609,32
Camilla Castle,USA,Spicy Special Slims,11/2/2022,1274,244
Marney O'Breen,USA,Orange Choco,1/27/2022,7595,181
Van Tuxwell,UK,99% Dark & Pure,1/31/2022,4725,137
Camilla Castle,USA,White Choc,8/18/2022,9681,24
Andria Kimpton,USA,Raspberry Choco,6/30/2022,14504,21
Dotty Strutley,Australia,Fruit & Nut Bars,8/23/2022,280,311
Brien Boise,New Zealand,Mint Chip Choco,1/8/2022,63,181
Roddy Speechley,New Zealand,After Nines,5/25/2022,8001,10
Roddy Speechley,Canada,Organic Choco Syrup,10/1/2022,4032,82
Dennison Crosswaite,Australia,70% Dark Bites,7/2/2022,5859,108
Karlen McCaffrey,USA,Orange Choco,12/5/2022,11095,401
Madelene Upcott,Australia,Spicy Special Slims,7/3/2022,7182,408
Dennison Crosswaite,Australia,85% Dark Bars,5/4/2022,6881,420
Andria Kimpton,Canada,Caramel Stuffed Bars,3/1/2022,7154,348
Dennison Crosswaite,UK,Eclairs,3/24/2022,6188,270
Madelene Upcott,India,Raspberry Choco,7/7/2022,4221,9
Van Tuxwell,USA,After Nines,7/26/2022,630,264
Wilone O'Kielt,Australia,Organic Choco Syrup,7/7/2022,1743,111
Karlen McCaffrey,Canada,50% Dark Bites,7/15/2022,2919,65
Roddy Speechley,New Zealand,Orange Choco,1/4/2022,49,97
Beverie Moffet,Australia,Eclairs,6/20/2022,1827,6
Kelci Walkden,UK,Fruit & Nut Bars,6/29/2022,13006,482
Marney O'Breen,USA,50% Dark Bites,6/15/2022,1064,106
Husein Augar,USA,After Nines,8/4/2022,11571,180
Dennison Crosswaite,Australia,Raspberry Choco,3/14/2022,5740,31
Andria Kimpton,USA,Fruit & Nut Bars,7/15/2022,1456,359
Kelci Walkden,India,Eclairs,4/19/2022,5334,80
Marney O'Breen,USA,99% Dark & Pure,3/28/2022,4151,296
Brien Boise,Canada,Spicy Special Slims,4/3/2022,8106,101
Karlen McCaffrey,New Zealand,70% Dark Bites,2/8/2022,126,40
Husein Augar,UK,Spicy Special Slims,8/25/2022,4697,42
Marney O'Breen,USA,Almond Choco,2/25/2022,7798,167
Kelci Walkden,India,Orange Choco,7/6/2022,9408,138
Jan Morforth,India,Spicy Special Slims,12/4/2022,1939,520
Ches Bonnell,India,Spicy Special Slims,6/7/2022,10906,94
Kelci Walkden,UK,Smooth Sliky Salty,1/19/2022,5929,175
Madelene Upcott,Australia,Fruit & Nut Bars,5/1/2022,5579,92
Madelene Upcott,Canada,70% Dark Bites,1/24/2022,10927,141
Wilone O'Kielt,Australia,Drinking Coco,6/4/2022,623,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,6/15/2022,6013,21
Gigi Bohling,Canada,Baker's Choco Chips,1/28/2022,1505,47
Kelci Walkden,India,Caramel Stuffed Bars,3/16/2022,476,125
Rafaelita Blaksland,Australia,Drinking Coco,2/21/2022,11550,396
Kelci Walkden,USA,Manuka Honey Choco,2/16/2022,17318,87
Jehu Rudeforth,Canada,Spicy Special Slims,1/13/2022,1848,27
Kelci Walkden,Australia,Eclairs,3/23/2022,7273,547
Curtice Advani,Canada,Spicy Special Slims,6/16/2022,854,118
Oby Sorrel,India,Raspberry Choco,4/14/2022,6832,46
Kelci Walkden,UK,Eclairs,1/25/2022,4606,57
Jan Morforth,India,Almond Choco,11/3/2022,4466,22
Dotty Strutley,UK,Almond Choco,7/28/2022,16114,96
Marney O'Breen,New Zealand,After Nines,9/3/2022,1561,44
Husein Augar,Australia,Orange Choco,6/28/2022,8897,188
Marney O'Breen,Australia,Milk Bars,7/28/2022,2464,387
Kelci Walkden,Canada,99% Dark & Pure,8/15/2022,4830,50
Kaine Padly,Australia,Manuka Honey Choco,12/1/2022,2765,264
Beverie Moffet,New Zealand,White Choc,3/24/2022,7126,7
Van Tuxwell,UK,Milk Bars,7/25/2022,4263,90
Oby Sorrel,Canada,99% Dark & Pure,1/8/2022,3605,403
Van Tuxwell,India,Organic Choco Syrup,5/16/2022,19929,174
Roddy Speechley,India,Smooth Sliky Salty,10/8/2022,5103,140
Jan Morforth,India,Eclairs,5/1/2022,2541,27
Ches Bonnell,UK,Smooth Sliky Salty,11/7/2022,5663,110
Wilone O'Kielt,USA,After Nines,4/25/2022,392,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,4/4/2022,10976,121
Barr Faughny,USA,Raspberry Choco,12/4/2022,9282,101
Wilone O'Kielt,New Zealand,85% Dark Bars,2/8/2022,1827,117
Gigi Bohling,New Zealand,Manuka Honey Choco,6/28/2022,8267,272
Ches Bonnell,Australia,Eclairs,5/7/2022,4116,128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,7/6/2022,2093,45
Brien Boise,New Zealand,Smooth Sliky Salty,1/18/2022,1015,27
Brien Boise,Australia,Baker's Choco Chips,4/1/2022,12516,212
Dennison Crosswaite,Australia,99% Dark & Pure,1/31/2022,2758,18
Kelci Walkden,India,Almond Choco,3/14/2022,3297,149
Camilla Castle,Australia,70% Dark Bites,4/29/2022,6048,477
Oby Sorrel,India,Smooth Sliky Salty,7/2/2022,10101,108
Kaine Padly,UK,Organic Choco Syrup,3/31/2022,2282,178
Marney O'Breen,India,Caramel Stuffed Bars,3/16/2022,4361,81
Karlen McCaffrey,UK,Eclairs,1/25/2022,7798,196
Van Tuxwell,India,Baker's Choco Chips,6/20/2022,3052,447
Gigi Bohling,UK,After Nines,3/29/2022,8029,175
Curtice Advani,Australia,Orange Choco,12/7/2022,854,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,11/7/2022,5460,138
Karlen McCaffrey,Canada,Smooth Sliky Salty,1/19/2022,3017,184
Andria Kimpton,USA,85% Dark Bars,5/4/2022,8911,82
